predicted_price,actual_price,value_diff,budget,position_needed,popularity,performance,composition_match,age,injury_risk,buy_decision
48,45,3,83,1,0.79,0.82,1,30,0.33,0
65,63,2,155,0,0.31,0.73,1,34,0.21,0
81,80,1,253,1,0.37,0.78,0,24,0.52,0
89,91,-2,134,1,0.05,0.66,1,35,0.94,0
61,69,-8,50,0,0.05,0.53,0,22,0.39,0
42,52,-10,86,1,0.66,0.52,1,23,0.14,0
44,49,-5,227,0,0.69,0.77,0,23,0.94,0
71,73,-2,259,1,0.68,0.9,0,32,0.17,0
85,95,-10,70,1,0.48,0.81,0,27,0.42,0
52,62,-10,266,0,0.89,0.57,1,35,0.69,0
72,80,-8,258,1,0.04,0.65,1,24,0.06,0
47,52,-5,140,1,0.07,0.95,0,24,0.53,0
56,55,1,173,1,0.16,0.56,0,19,0.95,0
76,76,0,235,0,0.2,0.68,0,27,0.52,0
71,76,-5,215,0,0.22,0.78,1,24,0.39,0
64,55,9,291,1,0.93,0.52,0,21,0.41,0
86,76,10,130,1,0.4,0.86,0,18,0.34,0
51,56,-5,115,1,0.99,0.88,0,31,0.18,0
76,68,8,246,1,0.81,0.77,0,26,0.96,0
55,56,-1,167,0,0.28,0.73,0,29,0.5,0
45,49,-4,287,1,0.44,0.79,0,20,0.85,0
86,96,-10,273,0,0.21,0.69,1,34,0.39,0
65,68,-3,98,1,0.65,0.71,1,35,0.63,0
95,102,-7,107,1,0.64,0.68,0,35,0.36,0
61,69,-8,175,0,0.22,0.94,0,32,0.45,0
43,42,1,99,1,0.86,0.97,0,35,0.43,0
50,48,2,79,0,0.46,0.57,0,34,0.02,0
69,74,-5,258,1,0.46,0.72,0,32,0.17,0
57,51,6,68,0,0.68,0.94,1,32,0.2,1
97,91,6,134,0,0.61,0.53,0,33,0.24,0
85,90,-5,216,1,0.86,0.88,0,31,0.58,0
49,45,4,148,0,0.0,0.53,1,24,0.19,0
41,37,4,182,1,0.62,0.61,1,27,0.12,0
57,52,5,100,0,0.33,0.95,1,33,0.07,0
66,65,1,180,1,0.29,0.71,1,19,0.62,0
67,72,-5,160,0,0.23,0.87,0,20,0.83,0
76,85,-9,152,1,0.95,0.9,1,26,0.57,0
41,40,1,221,1,0.49,0.98,0,31,0.49,0
83,76,7,238,1,0.08,0.53,0,24,0.19,0
59,50,9,208,0,0.77,0.66,1,19,0.9,1
94,94,0,151,0,0.02,0.87,1,31,0.46,0
80,76,4,132,1,0.36,0.54,0,31,0.48,0
66,71,-5,126,0,0.24,0.79,1,26,0.85,0
57,58,-1,157,0,0.72,0.59,1,25,0.99,0
84,92,-8,59,0,0.53,1.0,0,22,0.79,0
91,89,2,98,1,0.22,0.81,0,18,0.72,0
58,48,10,238,1,0.76,0.97,1,18,0.08,1
63,55,8,142,0,0.34,0.82,0,27,0.84,0
62,66,-4,228,1,0.43,0.73,1,34,0.1,0
97,88,9,189,0,0.19,0.86,0,23,0.39,0
55,58,-3,268,0,0.52,0.74,1,35,0.1,0
96,100,-4,257,1,0.39,0.75,0,33,0.9,0
83,88,-5,209,1,0.27,0.59,1,30,0.87,0
62,64,-2,257,1,0.56,0.59,0,30,0.01,0
65,61,4,299,0,0.74,0.86,1,30,0.07,0
97,93,4,182,0,0.02,0.77,1,24,0.01,0
100,106,-6,162,0,0.68,0.52,1,27,0.74,0
62,58,4,286,1,0.86,0.79,0,31,0.73,0
87,89,-2,226,1,0.85,0.75,0,31,0.04,0
42,35,7,125,1,0.61,0.59,1,19,0.81,1
75,79,-4,153,0,0.73,0.57,1,20,0.12,0
88,85,3,264,0,0.77,0.71,1,21,0.08,0
92,87,5,274,0,0.04,0.97,0,32,0.78,0
73,72,1,59,1,0.68,0.62,1,32,0.5,0
87,81,6,217,1,0.46,0.86,0,32,0.15,0
100,90,10,98,0,0.73,0.94,1,33,1.0,1
85,95,-10,258,0,0.11,0.79,0,20,0.14,0
69,60,9,270,1,0.39,0.76,0,21,0.82,0
73,78,-5,90,0,0.12,0.86,0,25,0.88,0
100,93,7,221,1,0.66,0.66,0,33,0.7,0
69,68,1,170,0,0.79,0.9,0,34,0.83,0
100,106,-6,271,0,0.51,0.86,0,35,0.54,0
83,93,-10,171,0,0.97,0.71,0,25,0.66,0
82,91,-9,300,1,0.04,0.58,0,31,0.11,0
44,39,5,244,0,0.97,1.0,1,19,0.78,0
49,50,-1,91,0,0.75,0.69,0,25,0.87,0
72,79,-7,212,1,0.14,0.89,1,26,0.43,0
75,71,4,183,0,0.32,0.96,1,30,0.08,0
64,63,1,158,1,0.35,0.57,1,31,0.94,0
79,81,-2,131,1,0.64,0.65,1,31,0.15,0
47,46,1,251,0,0.18,0.7,1,34,0.43,0
91,101,-10,172,1,0.38,0.55,0,31,0.79,0
52,47,5,251,1,0.79,0.83,1,28,0.57,0
69,74,-5,113,1,0.78,0.87,0,23,0.1,0
96,97,-1,175,1,0.35,0.56,1,28,0.76,0
88,91,-3,62,1,0.4,0.91,0,26,0.09,0
47,49,-2,193,1,0.07,0.95,0,25,0.29,0
97,105,-8,66,1,0.82,0.94,0,32,0.57,0
83,80,3,291,1,0.99,0.64,0,27,0.03,0
92,87,5,70,0,0.19,0.79,0,30,0.89,0
57,62,-5,81,0,0.15,0.62,1,24,0.67,0
82,90,-8,91,1,0.59,0.81,1,23,0.62,0
57,66,-9,282,0,0.81,0.72,1,20,0.91,0
40,34,6,50,0,0.17,0.81,0,25,0.04,0
66,62,4,156,0,0.9,0.85,0,33,0.89,0
82,83,-1,155,0,0.57,0.6,0,25,0.09,0
94,96,-2,163,0,0.94,0.93,1,28,0.77,0
94,93,1,202,0,0.64,0.88,0,19,0.92,0
60,54,6,285,1,0.71,0.6,1,31,0.59,1
60,67,-7,154,0,0.32,0.52,0,34,0.14,0
85,91,-6,257,0,0.05,0.54,1,23,0.63,0
84,78,6,268,1,0.78,0.53,1,22,0.94,1
52,58,-6,235,0,0.06,0.76,1,26,0.06,0
66,59,7,163,1,0.36,0.67,0,22,0.18,0
59,52,7,119,0,0.73,0.68,1,33,0.77,1
62,72,-10,281,1,0.26,0.9,1,22,0.67,0
51,57,-6,146,1,0.95,0.92,1,31,0.18,0
76,78,-2,84,1,0.29,0.72,1,28,0.48,0
91,82,9,209,0,0.48,0.51,1,23,0.13,1
82,82,0,134,1,0.2,0.97,0,34,0.64,0
64,63,1,218,0,0.16,0.92,1,21,0.63,0
55,47,8,56,0,0.36,0.51,1,19,0.55,1
84,76,8,119,1,0.56,0.69,0,35,0.24,0
82,92,-10,62,1,0.4,0.72,1,20,0.97,0
87,93,-6,196,0,0.59,0.51,0,21,0.51,0
59,68,-9,103,1,0.64,0.59,0,34,0.16,0
91,84,7,254,1,0.34,0.87,1,30,0.77,1
86,83,3,212,1,0.09,1.0,1,21,0.94,0
97,99,-2,142,1,0.68,0.67,0,32,0.59,0
76,75,1,95,0,0.15,0.8,1,27,0.73,0
66,64,2,250,0,0.16,0.82,1,31,0.43,0
94,98,-4,115,0,0.46,0.58,0,22,0.58,0
70,77,-7,247,1,0.9,0.64,0,33,0.09,0
62,71,-9,62,1,0.29,0.84,0,21,0.44,0
42,48,-6,188,0,0.16,0.74,0,28,0.43,0
88,98,-10,202,0,0.88,0.97,0,21,0.64,0
69,64,5,115,0,0.45,0.99,0,25,0.65,0
71,69,2,103,0,0.25,0.59,0,30,0.96,0
65,73,-8,294,0,0.69,0.55,1,25,0.29,0
72,62,10,134,0,0.87,0.52,0,24,0.05,0
79,71,8,122,0,0.29,0.77,0,24,0.47,0
67,63,4,218,1,0.02,0.58,0,22,0.52,0
95,105,-10,121,0,0.62,0.91,0,30,0.55,0
86,91,-5,74,1,0.94,0.7,0,35,0.53,0
44,34,10,183,1,0.32,0.95,0,19,0.94,0
41,48,-7,168,0,0.67,0.55,0,27,0.14,0
76,67,9,142,1,0.33,0.6,0,26,0.31,0
75,70,5,161,1,0.63,0.99,0,27,0.5,0
74,78,-4,283,0,0.99,1.0,1,22,0.66,0
91,81,10,254,0,0.84,0.58,1,21,0.41,1
97,102,-5,121,1,0.46,0.72,1,24,0.2,0
52,61,-9,121,0,0.14,0.87,1,18,0.02,0
82,72,10,126,0,0.87,0.99,0,33,0.7,0
60,54,6,183,1,0.49,0.85,1,31,0.05,1
80,80,0,55,0,0.11,0.64,1,23,0.68,0
44,50,-6,79,1,0.6,0.98,1,20,0.67,0
45,39,6,254,1,0.99,0.64,0,23,0.96,0
70,60,10,64,0,0.28,0.81,1,24,0.5,1
65,74,-9,249,0,0.98,0.73,0,22,0.19,0
44,54,-10,163,0,0.94,0.76,0,32,0.59,0
54,56,-2,217,0,0.06,0.7,1,19,0.87,0
78,87,-9,123,1,0.37,0.53,0,19,0.35,0
68,62,6,247,0,0.07,0.67,1,27,0.63,1
65,75,-10,120,1,0.24,0.74,0,35,0.3,0
62,57,5,220,0,0.22,0.66,1,33,0.82,0
81,83,-2,55,0,0.91,0.78,1,19,0.25,0
66,69,-3,71,0,0.83,0.55,1,33,0.09,0
46,44,2,70,0,0.36,0.76,1,35,0.2,0
55,47,8,85,1,0.84,0.9,0,32,0.41,0
68,66,2,136,0,1.0,1.0,0,24,0.51,0
85,92,-7,224,1,0.75,0.6,0,26,0.1,0
60,55,5,212,1,0.33,0.63,0,25,0.34,0
90,89,1,144,0,0.26,0.76,1,29,0.96,0
67,64,3,96,1,0.94,0.97,0,20,0.67,0
93,83,10,264,0,0.53,0.59,1,32,0.92,1
52,45,7,274,1,0.23,0.56,0,24,0.54,0
62,64,-2,193,0,0.87,0.82,0,31,0.32,0
100,109,-9,256,0,0.55,0.54,1,33,0.38,0
68,64,4,253,1,0.49,0.67,1,30,0.66,0
91,85,6,121,1,0.62,0.83,1,35,0.97,1
82,84,-2,300,0,0.65,0.88,0,28,0.18,0
78,87,-9,227,1,0.01,0.62,0,21,0.05,0
92,92,0,243,1,0.62,0.99,1,20,0.44,0
61,55,6,221,0,0.73,0.98,0,26,0.92,0
89,83,6,176,0,0.7,0.78,1,33,0.45,1
92,99,-7,80,0,0.27,0.73,0,29,0.16,0
66,70,-4,256,1,0.62,0.89,0,34,0.8,0
62,54,8,67,0,0.59,0.63,0,30,0.16,0
85,82,3,271,0,0.75,0.55,1,35,0.7,0
77,72,5,183,1,0.24,0.82,0,31,0.25,0
83,78,5,66,0,0.01,0.85,1,34,0.17,0
50,40,10,294,1,0.29,0.78,0,19,0.16,0
53,63,-10,118,1,0.26,0.68,1,20,0.4,0
56,57,-1,193,1,0.25,0.89,1,32,0.35,0
54,54,0,174,1,0.4,0.74,1,27,0.71,0
87,90,-3,61,1,0.73,0.72,1,31,0.93,0
53,54,-1,253,1,0.6,0.87,0,22,0.47,0
81,85,-4,145,0,0.25,0.54,0,34,0.84,0
90,86,4,175,0,0.03,0.94,1,35,0.76,0
94,104,-10,70,1,0.73,0.72,0,35,0.32,0
96,95,1,242,0,0.27,0.87,1,24,0.88,0
47,44,3,111,0,0.56,0.91,0,18,0.15,0
45,54,-9,286,0,0.52,0.58,0,26,0.24,0
44,42,2,171,1,0.52,0.55,0,22,0.32,0
61,63,-2,70,1,0.62,0.64,0,28,0.82,0
68,61,7,170,1,0.62,0.64,1,33,0.89,1
95,101,-6,158,1,0.51,0.75,1,31,0.99,0
49,57,-8,268,0,0.67,0.99,0,25,0.4,0
64,72,-8,150,1,0.04,0.79,0,35,0.87,0
93,97,-4,181,0,0.44,0.66,0,23,0.71,0
87,85,2,100,1,0.09,0.53,0,28,0.73,0
73,77,-4,284,1,0.97,0.88,1,27,0.39,0
97,98,-1,140,0,0.55,0.59,1,27,0.26,0
50,44,6,196,0,0.49,0.87,0,35,0.79,0
71,79,-8,195,1,0.8,0.99,1,23,0.82,0
88,96,-8,154,1,0.36,0.54,0,21,0.49,0
92,92,0,145,1,0.69,0.79,0,22,0.74,0
67,76,-9,98,0,0.92,0.62,0,33,0.69,0
77,76,1,165,0,0.03,0.81,1,32,0.0,0
75,71,4,179,0,0.21,0.83,0,34,0.68,0
52,47,5,176,1,0.19,0.85,0,23,0.74,0
91,86,5,104,1,0.93,0.78,1,27,0.08,0
97,98,-1,284,0,0.64,0.79,1,33,0.56,0
57,62,-5,208,1,0.45,0.75,0,31,0.95,0
86,81,5,251,0,0.33,0.89,1,35,0.72,0
45,42,3,272,1,0.55,0.88,0,34,0.4,0
69,59,10,193,0,0.73,0.8,1,18,0.07,1
48,58,-10,59,0,0.35,0.95,0,32,0.44,0
62,67,-5,167,0,0.72,0.88,1,21,0.8,0
64,73,-9,226,0,0.22,0.89,1,19,0.33,0
79,77,2,153,1,0.06,0.77,1,21,0.09,0
90,82,8,57,1,0.22,0.95,1,34,0.9,0
52,42,10,274,0,0.41,0.79,0,21,0.58,0
55,48,7,279,1,0.58,0.79,0,35,0.61,0
41,45,-4,66,1,0.23,0.86,0,22,0.63,0
97,107,-10,258,1,0.43,0.55,0,29,0.96,0
90,84,6,218,1,0.38,0.8,0,25,0.09,0
87,85,2,220,1,0.86,0.95,0,19,0.36,0
65,73,-8,96,1,0.28,0.54,0,22,0.59,0
65,75,-10,184,0,0.91,0.91,1,33,0.79,0
83,80,3,89,1,0.83,0.54,0,18,0.94,0
98,107,-9,113,0,0.89,0.94,1,27,0.83,0
86,81,5,142,0,0.79,0.63,1,34,0.64,0
42,47,-5,59,1,0.03,0.99,0,23,0.34,0
78,77,1,254,1,0.11,0.87,1,22,0.9,0
96,103,-7,231,0,0.28,0.95,0,18,0.49,0
82,86,-4,176,0,0.43,0.87,1,23,0.62,0
73,66,7,105,1,0.99,0.61,1,31,0.55,1
64,72,-8,204,1,0.67,0.98,0,20,0.04,0
78,84,-6,62,0,0.66,0.59,1,19,0.92,0
93,84,9,300,0,0.65,0.52,1,23,0.87,1
52,54,-2,91,0,0.26,0.52,1,26,0.97,0
68,65,3,293,0,0.31,0.75,0,32,0.56,0
95,86,9,69,1,0.43,0.69,0,33,0.54,0
63,59,4,128,0,0.35,0.95,1,28,0.92,0
41,35,6,247,0,0.58,0.61,0,24,0.49,0
44,51,-7,152,1,0.41,0.56,1,27,0.21,0
85,86,-1,190,0,0.34,0.64,1,31,0.99,0
75,80,-5,222,0,0.95,0.81,0,32,0.74,0
78,82,-4,85,1,0.04,0.7,1,30,0.79,0
74,65,9,148,0,0.57,0.58,0,23,0.73,0
82,89,-7,147,0,0.23,0.92,1,19,0.43,0
69,72,-3,292,0,0.13,0.83,0,24,0.96,0
80,72,8,141,0,0.79,0.76,1,22,0.67,1
77,72,5,56,0,0.93,0.78,1,34,0.34,0
95,87,8,275,0,0.25,0.61,0,24,0.03,0
57,65,-8,220,0,0.72,0.77,0,19,0.55,0
71,75,-4,178,1,0.85,0.94,1,24,0.84,0
97,87,10,113,0,0.08,0.69,0,29,0.56,0
88,85,3,118,0,0.57,0.87,0,30,0.23,0
40,34,6,198,0,0.23,0.98,0,24,0.01,0
56,55,1,173,1,0.15,0.64,1,20,0.64,0
86,76,10,126,0,0.09,0.65,1,25,0.87,1
69,59,10,184,1,0.65,0.77,0,31,0.81,0
59,63,-4,283,1,0.52,0.77,1,31,0.52,0
71,74,-3,78,0,0.25,0.58,1,29,0.87,0
83,84,-1,260,1,0.02,0.82,1,23,0.07,0
57,64,-7,89,0,0.19,0.97,0,31,0.07,0
87,82,5,248,0,0.14,0.94,1,31,0.06,0
92,85,7,189,1,0.56,0.93,0,21,0.77,0
62,54,8,62,0,0.7,0.71,0,30,0.36,0
48,58,-10,122,0,0.1,0.92,0,29,0.44,0
81,84,-3,289,0,1.0,0.88,1,27,0.53,0
48,41,7,200,0,0.81,0.53,1,26,0.66,1
56,49,7,179,0,0.44,0.7,1,18,0.72,1
57,64,-7,113,1,0.71,0.88,1,21,0.99,0
76,66,10,124,0,0.34,0.6,0,31,0.21,0
94,90,4,281,1,0.08,0.58,0,34,0.48,0
52,59,-7,98,0,0.26,0.66,0,28,0.68,0
87,87,0,149,0,0.19,0.86,1,22,0.32,0
93,103,-10,210,0,0.06,0.71,1,25,0.35,0
74,75,-1,193,1,0.5,0.59,0,24,0.54,0
67,70,-3,187,0,0.49,0.58,0,22,0.7,0
44,49,-5,170,1,0.93,0.69,1,19,0.84,0
62,65,-3,82,0,0.9,0.83,0,35,0.83,0
77,70,7,257,0,0.57,0.64,0,35,0.37,0
77,85,-8,105,1,0.12,0.56,1,29,0.48,0
70,63,7,266,0,0.61,0.94,1,31,0.1,1
85,75,10,58,0,0.54,0.59,0,34,0.78,0
77,75,2,263,0,0.2,0.51,1,30,0.36,0
92,90,2,240,0,0.11,0.67,1,25,0.55,0
40,43,-3,75,1,0.63,0.98,0,35,0.62,0
94,95,-1,50,0,0.88,0.69,0,34,0.52,0
79,89,-10,226,0,0.41,0.52,0,30,0.09,0
40,30,10,53,1,0.97,0.96,1,23,0.26,1
70,71,-1,272,1,0.33,0.51,1,28,0.58,0
98,108,-10,79,0,0.38,0.65,1,27,0.55,0
83,84,-1,184,0,0.42,0.63,0,21,0.61,0
60,63,-3,83,0,0.86,0.81,1,25,0.94,0
93,93,0,224,1,0.37,0.79,1,34,0.08,0
40,30,10,56,0,0.45,0.69,1,26,0.21,1
42,38,4,81,0,0.6,0.63,1,25,0.16,0
83,77,6,251,1,0.24,0.83,0,23,0.52,0
92,84,8,197,1,0.83,0.63,0,19,0.9,0
86,85,1,98,0,0.22,0.6,1,29,0.88,0
68,70,-2,299,0,0.67,0.98,1,33,0.38,0
76,78,-2,223,1,0.81,0.93,0,32,0.5,0
40,46,-6,203,0,0.37,0.87,0,29,0.17,0
44,42,2,147,0,0.33,0.65,1,34,0.26,0
61,59,2,268,0,0.47,0.88,0,25,0.75,0
58,58,0,147,1,0.9,0.51,1,23,0.43,0
89,98,-9,291,0,0.05,0.95,0,18,0.77,0
66,70,-4,274,1,0.6,0.65,0,27,0.57,0
42,36,6,86,0,0.25,0.5,0,30,0.71,0
65,75,-10,234,1,0.31,0.6,1,26,0.8,0
60,51,9,225,0,0.77,0.91,0,31,0.17,0
55,48,7,274,1,0.11,0.88,0,25,0.74,0
47,38,9,172,1,0.06,0.57,1,34,0.83,1
70,80,-10,229,1,0.14,0.65,0,20,0.75,0
56,60,-4,274,0,0.85,0.61,0,21,0.79,0
81,77,4,190,1,0.62,0.68,1,34,0.19,0
91,89,2,81,0,0.2,0.73,0,29,0.67,0
68,77,-9,131,1,0.56,0.97,1,34,0.85,0
53,58,-5,167,0,0.77,0.76,1,24,0.47,0
98,101,-3,100,0,0.69,0.66,1,34,0.24,0
44,48,-4,67,0,0.43,0.5,1,22,0.9,0
78,86,-8,199,0,0.93,0.8,0,21,0.55,0
94,98,-4,90,1,0.52,0.69,1,23,0.28,0
50,60,-10,125,1,0.33,0.75,0,28,0.39,0
99,102,-3,247,0,0.09,0.75,0,33,0.38,0
70,79,-9,261,0,0.97,0.71,0,26,0.12,0
76,70,6,173,1,0.48,0.67,0,26,0.54,0
83,74,9,80,0,0.2,0.56,0,35,0.45,0
76,78,-2,109,1,0.67,0.94,0,33,0.42,0
100,95,5,248,1,0.18,0.91,1,30,0.78,0
61,70,-9,245,1,0.33,0.75,0,21,0.22,0
52,42,10,129,1,0.39,0.95,0,22,0.8,0
63,59,4,116,0,0.22,0.74,0,20,0.33,0
55,63,-8,155,0,0.48,0.86,1,35,0.68,0
61,54,7,86,1,0.47,0.86,0,27,0.6,0
95,102,-7,58,1,0.54,0.91,0,35,0.38,0
100,105,-5,132,1,0.74,0.55,1,30,0.79,0
53,47,6,106,1,0.52,0.63,1,29,0.12,1
57,53,4,235,0,0.14,0.58,0,27,0.56,0
45,55,-10,114,0,0.34,0.95,0,19,0.46,0
67,70,-3,114,1,0.34,0.71,0,24,0.4,0
70,74,-4,283,1,0.2,0.89,1,33,0.15,0
99,96,3,189,0,0.01,0.55,1,22,0.79,0
64,66,-2,229,1,0.52,0.81,0,34,0.6,0
89,81,8,289,1,0.5,0.73,0,20,0.84,0
42,46,-4,274,1,0.55,0.91,0,24,0.9,0
42,37,5,61,0,0.71,0.91,1,32,0.08,0
71,79,-8,268,0,0.84,0.52,0,26,0.61,0
79,75,4,241,0,0.99,0.68,0,19,0.04,0
78,72,6,60,0,0.41,0.89,0,22,0.37,0
56,62,-6,117,0,0.22,0.77,1,20,0.94,0
67,59,8,217,0,0.25,0.94,1,27,0.76,1
46,48,-2,85,0,0.56,0.68,1,20,0.49,0
100,103,-3,90,0,0.21,0.82,1,27,0.35,0
66,71,-5,142,1,0.91,0.61,0,28,0.16,0
43,37,6,210,1,0.12,0.77,1,31,0.63,1
99,102,-3,61,1,0.56,0.57,1,35,0.35,0
73,65,8,241,1,0.28,0.8,1,26,0.33,1
95,102,-7,106,0,0.49,0.72,1,18,0.09,0
89,93,-4,67,0,0.13,0.75,0,18,0.96,0
77,74,3,126,1,0.54,0.73,0,20,0.1,0
92,86,6,250,0,0.61,0.54,1,24,0.54,1
79,89,-10,271,0,0.88,0.91,1,35,0.68,0
73,69,4,110,1,0.72,0.99,0,27,0.7,0
47,38,9,300,1,0.93,0.88,0,27,0.52,0
52,50,2,187,0,0.66,0.52,0,27,0.01,0
68,73,-5,238,0,0.74,0.81,1,29,0.25,0
65,68,-3,89,1,0.94,0.68,1,34,0.67,0
64,74,-10,107,0,0.54,0.85,1,19,0.18,0
82,91,-9,256,0,0.1,0.87,1,19,0.94,0
64,58,6,138,0,0.43,0.91,1,30,0.65,1
69,63,6,235,1,0.96,0.78,0,34,0.62,0
66,70,-4,196,1,0.28,0.97,1,28,0.35,0
98,98,0,141,1,0.69,0.69,0,18,0.99,0
83,79,4,73,0,0.98,0.71,1,27,0.12,0
56,57,-1,113,1,0.36,0.81,0,21,0.18,0
96,94,2,273,1,0.93,0.58,1,34,0.47,0
80,81,-1,185,0,0.89,0.67,0,22,0.31,0
62,64,-2,158,0,0.38,0.6,0,30,0.2,0
94,97,-3,262,1,0.84,0.9,1,31,0.3,0
46,41,5,224,1,0.39,0.65,1,29,0.09,0
100,103,-3,70,1,0.01,0.99,0,32,0.31,0
